Time	Rain	T2m
2020-09-26	2.9	10.6
2020-09-25	15.6	17.4
2020-09-24	7.3	18.0
2020-09-23	15.6	20.2
2020-09-22	12.2	27.5
2020-09-21	18.1	24.0
2020-09-20	12.0	26.3
2020-09-19	6.0	27.3
2020-09-18	1.7	17.0
2020-09-17	11.0	10.4
2020-09-16	2.5	14.5
2020-09-15	17.0	23.5
2020-09-14	16.3	11.6
2020-09-13	4.8	11.7
2020-09-12	2.2	19.7
2020-09-11	15.9	16.7
2020-09-10	5.0	28.9
2020-09-09	12.4	15.9
2020-09-08	4.4	19.9
2020-09-07	16.6	16.9
2020-09-06	13.7	11.8
2020-09-05	14.0	31.3
2020-09-04	17.6	27.0
2020-09-03	6.7	11.3
2020-09-02	10.2	31.1
2020-09-01	0.4	24.8
2020-08-31	20.0	32.7
2020-08-30	13.9	25.8
2020-08-29	18.5	12.6
2020-08-28	6.7	26.8
2020-08-27	8.0	19.5
2020-08-26	7.9	31.3
2020-08-25	10.5	18.5
2020-08-24	17.0	16.0
2020-08-23	17.5	16.5
2020-08-22	2.0	21.1
2020-08-21	1.6	24.1
2020-08-20	7.9	22.7
2020-08-19	5.2	17.1
2020-08-18	13.0	16.4
2020-08-17	1.6	29.8
2020-08-16	19.5	11.7
2020-08-15	5.6	25.9
2020-08-14	11.3	32.6
2020-08-13	13.8	33.1
2020-08-12	1.4	18.5
2020-08-11	17.3	28.8
2020-08-10	17.2	12.3
2020-08-09	5.3	12.1
2020-08-08	14.9	26.0
2020-08-07	14.3	18.7
2020-08-06	7.1	12.7
2020-08-05	7.1	14.3
2020-08-04	16.5	22.6
2020-08-03	8.5	13.8
2020-08-02	0.1	34.6
2020-08-01	0.5	27.1
2020-07-31	15.8	14.4
2020-07-30	17.2	30.8
2020-07-29	10.7	15.0
2020-07-28	2.6	34.5
2020-07-27	10.5	17.3
2020-07-26	10.1	10.5
2020-07-25	13.7	23.8
2020-07-24	12.4	23.8
2020-07-23	0.2	32.2
2020-07-22	19.1	13.3
2020-07-21	1.7	18.7
2020-07-20	18.3	25.2
2020-07-19	4.4	33.4
2020-07-18	17.9	27.3
2020-07-17	11.6	12.2
2020-07-16	1.6	26.7
2020-07-15	19.4	14.4
2020-07-14	0.0	30.9
2020-07-13	10.4	10.5
2020-07-12	3.7	24.2
2020-07-11	4.0	12.4
2020-07-10	8.2	31.2
2020-07-09	19.1	32.0
2020-07-08	0.4	34.8
2020-07-07	2.5	12.2
2020-07-06	13.8	19.8
2020-07-05	5.9	28.6
2020-07-04	13.2	17.5
2020-07-03	8.9	18.4
2020-07-02	4.9	28.7
2020-07-01	17.4	11.3
2020-06-30	2.9	21.6
2020-06-29	15.5	16.3
2020-06-28	14.4	10.5
2020-06-27	8.1	11.3
2020-06-26	2.7	10.1
2020-06-25	14.9	12.8
2020-06-24	11.0	21.1
2020-06-23	16.5	18.3
2020-06-22	13.4	16.6
2020-06-21	0.1	19.8
2020-06-20	4.2	34.9
2020-06-19	0.7	30.7
2020-06-18	7.1	33.8
2020-06-17	3.1	15.0
2020-06-16	15.2	33.6
2020-06-15	7.2	27.5
2020-06-14	8.3	20.4
2020-06-13	4.4	20.7
2020-06-12	18.2	22.9
2020-06-11	17.5	29.6
2020-06-10	3.2	27.6
2020-06-09	10.5	19.2
2020-06-08	10.0	24.2
2020-06-07	5.3	24.0
2020-06-06	2.6	17.0
2020-06-05	7.8	10.3
2020-06-04	16.2	25.0
2020-06-03	4.6	23.5
2020-06-02	16.8	18.8
2020-06-01	15.7	29.2
2020-05-31	8.3	23.8
2020-05-30	3.9	32.9
2020-05-29	4.3	30.9
2020-05-28	1.1	33.2
2020-05-27	7.2	34.3
2020-05-26	3.2	11.5
2020-05-25	11.4	31.6
2020-05-24	3.1	32.1
2020-05-23	0.8	24.6
2020-05-22	3.3	16.4
2020-05-21	14.3	33.2
2020-05-20	11.3	14.2
2020-05-19	16.6	25.3
2020-05-18	18.9	20.4
2020-05-17	14.4	18.9
2020-05-16	8.7	27.7
2020-05-15	4.3	10.8
2020-05-14	1.4	25.0
2020-05-13	3.5	31.7
2020-05-12	13.5	21.5
2020-05-11	12.2	30.8
2020-05-10	1.7	23.9
2020-05-09	3.1	24.7
2020-05-08	4.2	11.8
2020-05-07	17.4	13.5
2020-05-06	10.1	22.3
2020-05-05	17.1	10.1
2020-05-04	9.3	33.8
2020-05-03	3.1	19.2
2020-05-02	16.1	22.0
2020-05-01	16.0	10.7
2020-04-30	9.7	29.9
2020-04-29	2.1	31.9
2020-04-28	12.2	11.5
2020-04-27	5.8	11.0
2020-04-26	7.8	17.2
2020-04-25	0.7	32.5
2020-04-24	13.6	23.8
2020-04-23	16.8	29.0
2020-04-22	17.2	29.2
2020-04-21	18.9	21.4
2020-04-20	10.5	11.5
2020-04-19	9.1	10.1
2020-04-18	18.4	11.8
2020-04-17	10.9	29.6
2020-04-16	13.3	30.4
2020-04-15	18.3	19.5
2020-04-14	2.3	34.0
2020-04-13	10.4	34.3
2020-04-12	5.8	27.8
2020-04-11	18.9	22.2
2020-04-10	9.0	34.6
2020-04-09	16.4	24.1
2020-04-08	16.8	11.0
2020-04-07	15.3	13.2
2020-04-06	19.7	25.7
2020-04-05	8.8	14.6
2020-04-04	18.1	28.4
2020-04-03	4.5	10.6
